	index	Date	HomeTeam	AwayTeam	FTHG	FTAG	HS	AS	HST	AST	HTHG	HTAG	HF	AF	FTR	HTR	HY	AY	HR	AR	WHH	WHD	WHA	Season	watch	AGS	AGA	AYC	ARC	AWW	HGS	HGA	HYC	HRC	HWW
0	10	2000-08-21	Arsenal	Liverpool	2	0	17	7	12	4	1	0	25	20	H	H	2	4	1	2	2.1	3.0	3.2	00	0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
1	11	2000-08-22	Bradford	Chelsea	2	0	12	14	3	6	1	0	14	16	H	H	0	1	0	0	5.0	3.5	1.57	00	0	4.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0
2	12	2000-08-22	Ipswich	Man United	1	1	13	15	8	6	1	1	10	7	D	D	1	4	0	0	7.0	3.8	1.4	00	0	2.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0
3	13	2000-08-22	Middlesbrough	Tottenham	1	1	12	11	6	4	0	1	9	18	D	A	2	1	0	0	2.2	3.2	2.8	00	0	3.0	1.0	0.0	0.0	1.0	3.0	1.0	3.0	0.0	1.0
4	14	2000-08-23	Everton	Charlton	3	0	13	8	8	4	0	0	17	15	H	D	2	1	0	1	1.9	3.0	3.7	00	0	4.0	0.0	1.0	0.0	1.0	0.0	2.0	3.0	0.0	0.0
5	15	2000-08-23	Man City	Sunderland	4	2	15	9	10	4	2	0	24	14	H	H	3	3	0	0	2.5	3.1	2.5	00	1	1.0	0.0	3.0	0.0	0.0	0.0	4.0	2.0	0.0	1.0
6	16	2000-08-23	Newcastle	Derby	3	2	9	10	4	5	1	1	23	11	H	D	0	3	1	0	1.53	3.4	5.5	00	1	2.0	2.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0
7	17	2000-08-23	Southampton	Coventry	1	2	12	7	4	5	0	1	18	20	A	A	5	3	0	0	1.7	3.25	4.33	00	0	1.0	3.0	5.0	1.0	1.0	2.0	2.0	1.0	0.0	1.0
8	19	2000-08-26	Arsenal	Charlton	5	3	18	7	9	4	1	2	12	15	H	A	0	1	0	0	1.33	3.75	9.0	00	1	2.0	1.5	1.0	0.5	0.5	1.0	0.5	1.5	1.0	0.0
9	20	2000-08-26	Bradford	Leicester	0	0	8	13	4	8	0	0	11	12	D	D	1	2	0	0	2.5	3.1	2.5	00	0	0.5	0.0	2.5	0.0	0.0	1.0	0.5	0.5	0.0	0.0
10	21	2000-08-26	Everton	Derby	2	2	12	7	9	4	2	0	11	9	D	H	2	3	0	0	1.57	3.5	5.0	00	1	2.0	2.5	2.0	0.0	1.0	1.5	1.0	2.5	0.0	0.0
11	22	2000-08-26	Ipswich	Sunderland	1	0	14	9	5	3	0	0	10	12	H	D	1	1	0	0	2.5	3.1	2.5	00	0	1.5	2.0	3.0	0.0	0.5	1.0	2.0	0.5	0.0	0.5
12	23	2000-08-26	Man City	Coventry	1	2	14	9	5	8	0	2	7	12	A	A	2	3	0	0	2.1	3.2	3.0	00	0	1.5	2.0	4.0	0.5	0.5	2.0	3.0	2.5	0.0	1.0
13	24	2000-08-26	Middlesbrough	Leeds	1	2	15	16	8	11	0	2	12	20	A	A	2	0	0	0	2.5	3.1	2.5	00	1	2.0	0.0	1.0	0.0	0.0	2.0	1.0	2.5	0.0	0.5
14	25	2000-08-26	Newcastle	Tottenham	2	0	15	10	6	2	1	0	13	10	H	H	0	0	0	0	1.9	3.25	3.4	00	0	2.0	1.0	0.5	0.0	0.5	1.5	2.0	0.5	0.5	0.5
15	26	2000-08-26	Southampton	Liverpool	3	3	14	9	7	4	0	1	7	6	D	A	0	0	0	0	3.5	3.2	1.9	00	1	0.5	1.0	2.5	1.0	0.0	1.5	2.0	3.0	0.0	0.5
