,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HTHG,HTAG,HF,AF,FTR,HTR,HY,AY,HR,AR,WHH,WHD,WHA,Season,watch,AGS,AGA,AYC,ARC,AWW,HGS,HGA,HYC,HRC,HWW,HP,AP
8,2000-08-26,Arsenal,Charlton,5,3,18,7,9,4,1,2,12,15,H,A,0,1,0,0,1.33,3.75,9.0,0,1,2.0,1.5,1.0,0.5,0.5,1.0,0.5,1.5,1.0,0.0,3,0
10,2000-08-26,Everton,Derby,2,2,12,7,9,4,2,0,11,9,D,H,2,3,0,0,1.57,3.5,5.0,0,1,2.0,2.5,2.0,0.0,1.0,1.5,1.0,2.5,0.0,0.0,3,0
11,2000-08-26,Ipswich,Sunderland,1,0,14,9,5,3,0,0,10,12,H,D,1,1,0,0,2.5,3.1,2.5,0,0,1.5,2.0,3.0,0.0,0.5,1.0,2.0,0.5,0.0,0.5,1,0
12,2000-08-26,Man City,Coventry,1,2,14,9,5,8,0,2,7,12,A,A,2,3,0,0,2.1,3.2,3.0,0,0,1.5,2.0,4.0,0.5,0.5,2.0,3.0,2.5,0.0,1.0,3,3
14,2000-08-26,Newcastle,Tottenham,2,0,15,10,6,2,1,0,13,10,H,H,0,0,0,0,1.9,3.25,3.4,0,0,2.0,1.0,0.5,0.0,0.5,1.5,2.0,0.5,0.5,0.5,3,1
15,2000-08-26,Southampton,Liverpool,3,3,14,9,7,4,0,1,7,6,D,A,0,0,0,0,3.5,3.2,1.9,0,1,0.5,1.0,2.5,1.0,0.0,1.5,2.0,3.0,0.0,0.5,0,0
17,2000-09-05,Leeds,Man City,1,2,6,8,1,3,0,2,18,24,A,A,2,2,0,0,1.4,3.75,7.0,0,0,1.6666666666666667,2.6666666666666665,2.333333333333333,0.0,0.6666666666666666,2.0,0.5,0.5,0.0,0.5,3,3
18,2000-09-05,Man United,Bradford,6,0,21,6,12,4,2,0,12,10,H,H,0,1,0,0,1.2,5.5,9.0,0,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,1.6666666666666667,1.0,1.3333333333333333,0.0,0.3333333333333333,2,4
19,2000-09-05,Sunderland,West Ham,1,1,17,16,7,9,1,1,19,14,D,D,2,3,0,0,2.1,3.2,3.0,0,0,1.3333333333333333,2.333333333333333,2.0,0.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,2.333333333333333,0.0,0.3333333333333333,0,1
20,2000-09-05,Tottenham,Everton,3,2,11,11,7,6,1,2,11,10,H,A,1,2,0,0,1.66,3.4,4.33,0,1,1.6666666666666667,1.3333333333333333,2.333333333333333,0.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,4
21,2000-09-06,Charlton,Southampton,1,1,8,11,6,3,0,0,14,16,D,D,3,3,1,0,1.8,3.3,3.75,0,0,2.0,2.333333333333333,2.0,0.0,0.6666666666666666,2.333333333333333,2.6666666666666665,1.0,0.3333333333333333,0.6666666666666666,0,1
22,2000-09-06,Chelsea,Arsenal,2,2,12,13,5,5,1,0,16,22,D,H,3,1,0,0,2.2,3.0,3.0,0,1,2.333333333333333,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,0.0,0.3333333333333333,0,6
23,2000-09-06,Coventry,Newcastle,0,2,13,13,3,6,0,1,11,18,A,A,1,1,0,0,2.5,3.25,2.4,0,0,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.6666666666666667,3.6666666666666665,0.3333333333333333,0.3333333333333333,6,6
